Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
57,01-01-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,67,397,110
57,09-01-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,65,344,163
57,14-01-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,61,258,144
57,22-01-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,NA,NA,NA,121
57,28-01-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,62,289,101
57,03-02-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,61,254,165
57,11-02-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,61,302,170
57,16-02-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,63,400,151
57,24-02-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,62,362,154
57,05-03-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,49,223,126
57,11-03-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,59,175,122
57,19-03-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,62,167,85
57,27-03-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,62,197,71
57,07-04-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,59,167,76
57,15-04-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,57,207,90
57,23-04-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,63,300,115
57,28-04-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,59,227,38
57,05-05-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,56,232,119
57,13-05-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,56,157,45
57,21-05-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,45,204,48
57,26-05-2015,Delhi,Delhi,"Shahzada Bagh, Delhi",Central Pollution Control Board,Industrial Area,4,44,300,49
